record_type,sequence,trade_date,close
起点/新低基准,1,2012-12-31,1000.0
起点/新高基准,1,2012-12-31,1000.0
新低,2,2013-01-04,996.8178
新高,2,2013-01-07,1002.3926
新高,3,2013-01-08,1002.7489
新高,4,2013-01-09,1009.6756
新高,5,2013-01-10,1010.125
新低,3,2013-01-11,988.5663
新高,6,2013-01-14,1013.3235
新高,7,2013-01-15,1021.78
新高,8,2013-01-18,1021.9398
新高,9,2013-01-21,1033.5111
新高,10,2013-02-01,1040.0931
新高,11,2013-02-04,1047.4696
新高,12,2013-02-05,1061.7338
新高,13,2013-02-08,1069.5993
新高,14,2013-02-18,1071.753
新低,4,2013-03-28,984.3487
新低,5,2013-03-29,980.5696
新低,6,2013-04-01,979.1278
新低,7,2013-04-02,978.7107
新低,8,2013-04-03,976.5385
新低,9,2013-04-08,971.4429
新低,10,2013-04-12,967.2113
新低,11,2013-04-15,953.7018
新低,12,2013-04-16,952.3833
新低,13,2013-04-26,941.4376
新低,14,2013-05-02,937.7443
新低,15,2013-06-13,910.8236
新低,16,2013-06-17,905.6243
新低,17,2013-06-18,903.4155
新低,18,2013-06-19,902.6189
新低,19,2013-06-20,878.7286
新低,20,2013-06-21,875.2592
新低,21,2013-06-24,829.5588
新低,22,2013-06-25,825.8921
新低,23,2013-06-26,822.177
新低,24,2013-06-27,819.7582
新低,25,2013-07-08,819.187
新高,15,2014-08-04,1078.0555
新高,16,2014-08-05,1083.1943
新高,17,2014-08-11,1085.9971
新高,18,2014-08-12,1086.3032
新高,19,2014-08-13,1088.0342
新高,20,2014-08-15,1089.1945
新高,21,2014-08-18,1101.893
新高,22,2014-09-02,1111.8688
新高,23,2014-09-03,1124.2618
新高,24,2014-09-04,1134.3552
新高,25,2014-09-05,1144.8056
新高,26,2014-09-09,1148.4221
新高,27,2014-09-12,1149.3732
新高,28,2014-09-15,1154.0218
新高,29,2014-09-24,1159.6377
新高,30,2014-09-25,1167.8321
新高,31,2014-09-26,1171.1914
新高,32,2014-09-29,1178.4111
新高,33,2014-09-30,1178.6078
新高,34,2014-10-08,1188.4169
新高,35,2014-10-09,1191.0265
新高,36,2014-10-30,1194.8442
新高,37,2014-10-31,1209.4549
新高,38,2014-11-03,1216.4006
新高,39,2014-11-04,1221.6868
新高,40,2014-11-05,1223.5598
新高,41,2014-11-06,1225.1588
新高,42,2014-11-10,1256.538
新高,43,2014-11-12,1259.9748
新高,44,2014-11-17,1261.0666
新高,45,2014-11-24,1281.3278
新高,46,2014-11-25,1299.0512
新高,47,2014-11-26,1302.0495
新高,48,2014-11-27,1303.4909
新高,49,2014-11-28,1309.8249
新高,50,2014-12-01,1316.6855
新高,51,2014-12-02,1346.8732
新高,52,2014-12-03,1361.4299
新高,53,2014-12-04,1412.3735
新高,54,2014-12-08,1446.3536
新高,55,2014-12-10,1446.3543
新高,56,2014-12-11,1446.8834
新高,57,2014-12-15,1459.939
新高,58,2014-12-16,1467.6124
新高,59,2014-12-17,1468.7909
新高,60,2014-12-18,1485.4971
新高,61,2014-12-19,1526.4613
新高,62,2014-12-22,1534.3023
新高,63,2015-01-05,1601.2172
新高,64,2015-01-06,1615.9389
新高,65,2015-01-07,1620.307
新高,66,2015-03-13,1630.1324
新高,67,2015-03-16,1665.9858
新高,68,2015-03-17,1687.9209
新高,69,2015-03-18,1726.0772
新高,70,2015-03-19,1733.7019
新高,71,2015-03-20,1739.064
新高,72,2015-03-23,1777.4408
新高,73,2015-03-30,1824.1327
新高,74,2015-04-01,1843.8025
新高,75,2015-04-02,1857.8944
新高,76,2015-04-03,1885.2826
新高,77,2015-04-07,1930.0941
新高,78,2015-04-10,1933.5187
新高,79,2015-04-13,1982.2944
新高,80,2015-04-14,1991.8704
新高,81,2015-04-16,2005.3079
新高,82,2015-04-17,2061.626
新高,83,2015-04-20,2067.4046
新高,84,2015-04-21,2117.6485
新高,85,2015-04-22,2172.8651
新高,86,2015-04-23,2206.5165
新高,87,2015-04-27,2249.9231
新高,88,2015-05-22,2268.9543
新高,89,2015-05-25,2335.4311
新高,90,2015-05-26,2385.8711
新高,91,2015-05-27,2407.9077
新高,92,2015-06-02,2443.5073
新高,93,2015-06-04,2463.2706
新高,94,2015-06-05,2528.2156
新高,95,2015-06-08,2583.3496
新高,96,2015-06-09,2631.7945
新高,97,2015-06-12,2675.4798
新高,98,2020-11-20,2681.0912
新高,99,2020-11-23,2742.5069
新高,100,2020-12-01,2747.2875
新高,101,2020-12-02,2769.7056
新高,102,2021-02-18,2794.0704
新高,103,2021-02-19,2874.1177
新高,104,2021-02-22,2953.9521
新高,105,2021-03-22,2973.722
新高,106,2021-03-31,2983.0882
新高,107,2021-04-01,3013.4436
新高,108,2021-04-06,3016.6601
新高,109,2021-04-07,3075.1587
新高,110,2021-04-09,3086.3476
新高,111,2021-04-16,3090.3356
新高,112,2021-04-19,3108.16
新高,113,2021-04-28,3111.4266
新高,114,2021-04-29,3143.6267
新高,115,2021-05-06,3177.1812
新高,116,2021-05-07,3234.215
新高,117,2021-05-10,3316.7962
新高,118,2021-06-25,3349.5068
新高,119,2021-07-13,3371.8697
新高,120,2021-07-16,3413.5365
新高,121,2021-07-19,3420.9196
新高,122,2021-07-22,3473.2608
新高,123,2021-08-06,3497.389
新高,124,2021-08-09,3522.4764
新高,125,2021-08-10,3535.2882
新高,126,2021-08-11,3590.1226
新高,127,2021-08-12,3630.905
新高,128,2021-08-13,3662.6716
新高,129,2021-08-23,3664.7399
新高,130,2021-08-24,3698.4052
新高,131,2021-08-25,3782.9819
新高,132,2021-08-26,3837.4243
新高,133,2021-08-27,3903.5104
新高,134,2021-08-30,3974.633
新高,135,2021-08-31,4083.8265
新高,136,2021-09-02,4196.8627
新高,137,2021-09-07,4301.0337
新高,138,2021-09-08,4368.5126
新高,139,2021-09-09,4565.5153
新高,140,2021-09-13,4595.751
新高,141,2023-02-20,4611.6
新高,142,2023-02-21,4678.9311
新高,143,2023-03-01,4761.7598
新高,144,2023-03-02,4791.7231
新高,145,2023-03-03,4859.5632
新高,146,2023-03-08,4881.292
新高,147,2023-03-09,4915.9127
新高,148,2023-03-13,4982.4741
新高,149,2023-04-04,4989.4228
新高,150,2023-04-12,5007.4068
新高,151,2023-04-14,5035.848
新高,152,2023-04-17,5169.564
新高,153,2023-04-18,5215.5899
新高,154,2023-05-08,5379.3001
新高,155,2023-09-14,5389.2422
新高,156,2023-09-19,5410.2012
新高,157,2024-01-03,5461.0812
新高,158,2024-01-04,5506.9035
新高,159,2024-01-05,5509.7972
新高,160,2024-01-25,5707.9268
新高,161,2024-01-26,5797.319
新高,162,2024-01-29,5801.0034
新高,163,2024-02-07,5814.52
新高,164,2024-02-08,5818.4024
新高,165,2024-02-19,6059.488
新高,166,2024-02-20,6093.9123
新高,167,2024-02-22,6302.663
新高,168,2024-03-04,6340.6166
新高,169,2024-03-05,6348.6063
新高,170,2024-03-06,6356.3913
新高,171,2024-03-07,6411.8875
新高,172,2024-03-08,6486.8671
新高,173,2024-04-03,6537.1899
新高,174,2024-04-11,6541.8434
新高,175,2024-04-15,6687.3645
新高,176,2024-04-17,6734.8477
新高,177,2024-04-19,6758.5054
新高,178,2024-09-30,7179.2602
新高,179,2024-10-08,7373.9309
新高,180,2025-08-12,7395.0718
新高,181,2025-08-13,7445.9577
新高,182,2025-08-15,7516.4077
新高,183,2025-08-20,7588.0401
新高,184,2025-08-22,7627.9384
新高,185,2025-08-25,7806.6534
新高,186,2025-10-09,7961.6004
新高,187,2025-10-24,7997.1565
新高,188,2025-10-27,8083.7801
新高,189,2025-10-29,8108.7012
新高,190,2025-11-03,8126.9479
新高,191,2025-11-06,8265.334
新高,192,2025-11-07,8293.4045
新高,193,2025-11-10,8385.4703
新高,194,2025-11-13,8435.9439
新高,195,2026-01-06,8513.9459
新高,196,2026-01-09,8515.985
新高,197,2026-01-12,8556.4414
新高,198,2026-01-13,8610.3049
新高,199,2026-01-19,8684.7762
新高,200,2026-01-20,8753.3638
新高,201,2026-01-21,8794.8879
新高,202,2026-01-22,8895.9936
新高,203,2026-01-23,8942.3935
新高,204,2026-01-26,9022.0733
新高,205,2026-01-28,9165.7804
新高,206,2026-01-29,9263.6904
新高,207,2026-02-25,9268.5987
新高,208,2026-02-26,9295.1447
